"Bell,Ilona D.",Samuel Fessenden Clarke Professor of English,English Department,"1969, B.A., Radcliffe College",,"1977, Ph.D., Boston College"
"Bell,Robert H.",Frederick Latimer Wells Professor of English,English Department,"1967, B.A., Dartmouth College","1968, M.A., Harvard University","1972, Ph.D., Harvard University"
"Bell-Villada,Gene H.",Professor of Romance Languages,Romance Languages Department,"1963, B.A., University of Arizona","1967, M.A., University of California, Berkeley","1974, Ph.D., Harvard University"
"Benedict III,Henry H.",Lecturer in Art,Art Department,"1973, B.A., Yale University","1976, M.Arch., Yale University",
"Bernhardsson,Magnus T.",Professor of History and Faculty Affiliate in Leadership Studies and Religion,History Department,"1990, B.A., University of Iceland","1992, M.A., Yale University","1999, Ph.D., Yale University"
"Bingemann,Dieter",Professor of Chemistry,Chemistry Department,"1989, Diploma, Georg-August University",,"1994, Ph.D., Georg-August University"
"Blackwood,Julie C.",Assistant Professor of Mathematics,Mathematics and Statistics,,,"2010, Ph.D., University of California, Davis"
"Blair,James Abellera",Assistant Professor of Chemistry,Chemistry Department,"2002, B.A., Carleton College",,"2008, Ph.D., University of California, Berkeley"
"Bloxam,Mary Jennifer",Herbert H Lehman Professor of Music,Music Department,"1979, B.M., University of Illinois","1982, M.A., Yale University","1987, Ph.D., Yale University"
"Bolton,Christopher A.",Professor of Comparative and Japanese Literature,Comparative Literature Program,"1989, B.A., Harvard University",,"1998, Ph.D., Stanford University"
"Bolton,Sarah R.",Professor of Physics,Physics Department,"1988, B.S., Brown University","1991, M.A., University of California, Berkeley","1995, Ph.D., University of California, Berkeley"
"Bradburd,Ralph M.",Chair of CES and David A. Wells Professor of Political Economy,Economics Department,"1970, B.A., Columbia College","1975, M.A., Columbia University","1976, Ph.D., Columbia University"
"Braggs,Rashida K.",Assistant Professor of Africana Studies,Africana Studies,"1998, B.A., Yale University","2000, M.S., Boston College","2006, Ph.D., Northwestern University"
"Bravo,Janis E.",Visiting Instructor in Biology,Biology Department,"1980, B.S., Cornell University",,"1990, Ph.D., Rutgers University"
"Brothers,Deborah A.",Costume Director and Lecturer in Theatre,Theatre Department,"1976, B.F.A., University of New Orleans","1979, M.F.A., California Institute of the Arts",
"Brown,Katherine A.",Visiting Assistant Professor of French,Romance Languages Department,"2000, B.A., Wesleyan University","2004, M.A., Princeton University","2007, Ph.D., Princeton University"
"Brown,Leslie",Associate Professor of History,History Department,"1977, B.A., Tufts University","1993, M.A., Duke University","1997, Ph.D., Duke University"
"Buell,Denise K.",Cluett Professor of Religion,Religion Department,"1987, B.A., Princeton University","1990, M.Div., Harvard University","1995, Ph.D., Harvard University"
"Burton,Sandra L.",Lipp Family Director of Dance and Senior Lecturer in Dance,Dance Department,"1983, B.A., City College of New York","1987, M.F.A., Bennington College",
"Campbell,Corinna S.",Assistant Professor of Music,Music Department,"2003, B.M., Northwestern University","2005, M.M., Bowling Green State University","2012, Ph.D., Harvard University"
"Caprio Jr.,Gerard",Chair of the Executive Committee for the Center of Development Economics and William Brough Professor of Economics,Economics Department,"1972, B.A., Williams College","1974, M.A., University of Michigan","1976, Ph.D., University of Michigan"
"Carone,Benjamin R.",Visiting Assistant Professor of Biology,Biology Department,"2004, B.S., University of Connecticut",,"2009, Ph.D., University of Connecticut"
"Carone,Dawn M.",Assistant Professor of Biology,Biology Department,"2004, B.S., University of Connecticut",,"2008, Ph.D., University of Connecticut"
"Carter,Matthew E.",Assistant Professor of Biology,Biology Department,"2000, B.A., Whitman College",,"2010, Ph.D., Stanford University"
"Case,Alison A.",Professor of English,English Department,"1984, B.A., Oberlin College","1988, M.A., Cornell University","1991, Ph.D., Cornell University"
"Cassiday,Julie A.",Chair of German and Russian and Professor of Russian,German and Russian Department,"1986, B.A., Grinnell College","1990, M.A., Stanford University","1995, Ph.D., Stanford University"
"Cassuto,David N.",Class of 1946 Visiting Distinguished Professor of Environmental Studies,Center for Environmental Studies,"1985, B.A., Wesleyan University",,"1994, Ph.D., Indiana University"
"Catalano,Cosmo A.","Theatre Department Production Manager, Technical Supervisor for the '62 Center for Theatre and Dance, and Lecturer in Theatre",Theatre Department,"1976, B.A., University of Iowa","1979, M.F.A., Yale University",
"Cepeda,Maria Elena","Associate Professor of Latina/o Studies and Faculty Affiliate in American Studies and Women's, Gender and Sexuality Studies",Latina/o Studies Program,"1995, B.A., Kenyon College","1997, M.A., University of Michigan","2003, Ph.D., University of Michigan"
"Chandler,G. Donald",George R. Goethals Distinguished Visiting Professor of Leadership Studies,Leadership Studies Program,"1972, B.A., Williams College","1978, M.B.A., Harvard University",
"Chang,Cecilia",Professor of Chinese,Asian Studies Department,"1981, B.A., Fu-Jen University","1987, M.A., University of California, Los Angeles","2004, Ph.D., University of Massachusetts, Amherst"
"Chang,Jinhwa",Visiting Lecturer in Japanese,Asian Studies Department,"1994, B.A., Kyungpook National University",,
"Chao,Matthew C.",Assistant Professor of Economics,Economics Department,"2006, B.A., Dartmouth College",,"2015, Ph.D., California Institute of Technology"
"Chapman,Jessica M.",Associate Professor of History,History Department,"1999, B.A., Valparaiso University","2001, M.A., University of California, Santa Barbara","2006, Ph.D., University of California, Santa Barbara"
"Chavoya,C. Ondine L.",Professor of Art,Art Department,"1992, B.A., University of California, Santa Cruz","1996, M.A., University of Rochester","2002, Ph.D., University of Rochester"
"Childs,Lauren M.",Visiting Assistant Professor of Mathematics,Mathematics and Statistics,"2004, B.S., Duke University","2007, M.S., Cornell University","2010, Ph.D., Cornell University"
"Christensen,Kerry A.",Garfield Professor of Ancient Languages,Classics Department,"1981, B.A., Swarthmore College","1983, M.A., Princeton University","1993, Ph.D., Princeton University"
"Chuks,Jennifer E.",Assistant Professor of Physical Education and Assistant Athletic Director/Student Athlete Services,Athletics Department,"2006, B.A., University of Hartford","2009, M.B.A., University of New Haven",
"Clarke,Jay A.",Lecturer in the Graduate Program in Art History,Graduate Program in Art History,"1988, B.A., Holy Cross College","1991, M.A., Brown University","1999, Ph.D., Brown University"
"Cleghorn,Cassandra J.",Senior Lecturer in English and American Studies,English Department,"1983, B.A., University of California, Santa Cruz","1988, M.A., Yale University","1995, Ph.D., Yale University"
"Cohen,Phoebe A.",Assistant Professor of Geosciences,Geosciences Department,"2002, B.A., Cornell University",,"2010, Ph.D., Harvard University"
"Cone,Jeremy D.",Assistant Professor of Psychology,Psychology Department,,,"2012, Ph.D., Cornell University"
"Conforti,Michael P.",Lecturer in the Graduate Program in Art History,Graduate Program in Art History,"1968, B.A., Trinity College","1973, M.A., Harvard University","1977, Ph.D., Harvard University"
"Cook,Mea S.",Associate Professor of Geosciences,Geosciences Department,"1999, B.A., Princeton University",,"2006, Ph.D., Massachusetts Institute of Technology"
"Cowden,Margaux E.","Visiting Assistant Professor of Women's, Gender, and Sexuality Studies","Women, Gender & Sexuality Studies","2001, B.A., Ohio University-Athens","2003, M.A., University of California, Irvine","2009, Ph.D., University of California, Irvine"
"Cox,Ronadh",Chair and Professor of Geosciences,Geosciences Department,"1985, B.S., University College Dublin",,"1993, Ph.D., Stanford University"
"Crane,George T.",W. Van Alan Clark '41 Third Century Professor in the Social Sciences,Political Science Department,"1979, B.A., State University of New York, Purchase","1981, M.A., University of Wisconsin, Madison","1986, Ph.D., University of Wisconsin, Madison"
"Creighton,Marshall K.","Lecturer in Physical Education, Assistant Football and Assistant Baseball Coach",Athletics Department,"2002, B.A., Williams College",,
"Cross,Susan M.",Visiting Lecturer in Art,Art Department,"1989, B.A., University of Virginia","1994, M.A., Williams College",
"Crowe,Justin E.",Associate Professor of Political Science,Political Science Department,"2003, B.A., Williams College","2005, M.A., Princeton University","2007, Ph.D., Princeton University"
"Cruz,Joseph L.",Professor of Philosophy,Philosophy Department,"1991, B.A., Williams College",,"1999, Ph.D., University of Arizona"
"Curulla,Annelle M.",Assistant Professor of French Literature and Language,Romance Languages Department,"1999, B.A., Connecticut College","2001, M.A., Middlebury College","2012, Ph.D., Columbia University"
"Dankmeyer,Erica A.",Artist-in-Residence in Dance,Dance Department,"1991, B.A., Williams College",,
"Danyluk,Andrea",Dennis A. Meenan '54 Third Century Professor of Computer Science,Computer Science Department,"1984, A.B., Vassar College","1986, M.S., Columbia University","1992, Ph.D., Columbia University"
"Das,Joanna D.",Postdoctoral Fellow in Dance,Dance Department,"2005, B.A., Columbia University","2008, M.A., New York University","2014, Ph.D., Columbia University"
"De Gooyer,Alan W.",Lecturer in English,English Department,"1987, B.A., Colorado State University","1991, M.A., University of Denver","1994, Ph.D., University of Virginia"
"De Veaux,Richard D.",C. Carlisle and Margaret Tippit Professor of Statistics,Mathematics and Statistics,"1973, A.B., Princeton University","1980, M.A., Stanford University","1986, Ph.D., Stanford University"
"Dean,Derek",Lecturer in Biology,Biology Department,"1994, B.A., Oberlin College",,"2004, Ph.D., Cornell University"
"Dekel,Edan",Associate Professor of Classics and Faculty Affiliate in Religion,Classics Department,"1996, B.A., Brown University","1998, M.A., University of California, Berkeley","2005, Ph.D., University of California, Berkeley"
"Demianski,Marek",Visiting Professor of Astronomy,Astronomy Department,"1962, B.A., University of Warsaw",,"1966, Ph.D., University of Warsaw"
"Desrosiers,Nicole S.",Lecturer in Romance Languages,Graduate Program in Art History,,"1973, M.A., University of Massachusetts, Amherst","1980, Ph.D., University of Massachusetts, Amherst"
"Dethier,David P.",Edward Brust Professor of Geology and Mineralogy,Geosciences Department,"1972, A.B., Dartmouth College","1974, M.S., University of Washington","1977, Ph.D., University of Washington"
"Devadoss,Satyan L.",Professor of Mathematics,Mathematics and Statistics,"1993, B.S., North Central College",,"1999, Ph.D., Johns Hopkins University"
"Dew,Charles B.",Ephraim Williams Professor of American History,History Department,"1958, B.A., Williams College",,"1964, Ph.D., Johns Hopkins University"
"Doret,Stephen Charles",Assistant Professor of Physics,Physics Department,"2002, B.A., Williams College","2006, A.M., Harvard University","2010, Ph.D., Harvard University"
"Dreyfus,Georges B.",Jackson Professor of Religion,Religion Department,"1969, B.A., La Chaux-de-Fonds","1987, M.A., University of Virginia","1991, Ph.D., University of Virginia"
"Druxes,Helga",Professor of German,German and Russian Department,"1982, B.A., Westfalische Wilhelms-University","1985, M.A., Brown University","1987, Ph.D., Brown University"
