Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
76,Tuesday Jun 28,boxscore,BAL,@,SDP,W,11,7,,46-30,1,up 4.5,Jimenez,Johnson,,3:08,N,31515,++++++
77,Wednesday Jun 29,boxscore,BAL,@,SDP,W,12,6,,47-30,1,up 5.5,Gallardo,Friedrich,,3:07,D,25221,+++++++
78,Thursday Jun 30,boxscore,BAL,@,SEA,L,3,5,,47-31,1,up 5.0,Walker,Tillman,Cishek,3:06,N,23715,-
79,Friday Jul 1,boxscore,BAL,@,SEA,L,2,5,,47-32,1,up 4.0,LeBlanc,Gausman,Cishek,2:35,N,33006,--
80,Saturday Jul 2,boxscore,BAL,@,SEA,L,6,12,,47-33,1,up 4.0,Paxton,Wilson,Karns,3:15,N,29362,---
81,Sunday Jul 3,boxscore,BAL,@,SEA,L,4,9,,47-34,1,up 3.0,Iwakuma,Jimenez,,2:53,D,31405,----
82,Monday Jul 4,boxscore,BAL,@,LAD,L,5,7,,47-35,1,up 2.0,Blanton,Despaigne,Jansen,3:12,N,47378,-----
83,Tuesday Jul 5,boxscore,BAL,@,LAD,W,4,1,,48-35,1,up 2.5,Tillman,Maeda,Britton,3:17,N,45373,+
84,Wednesday Jul 6,boxscore,BAL,@,LAD,W,6,4,14,49-35,1,up 2.5,Givens,Hatcher,Britton,5:26,D,40899,++
85,Friday Jul 8,boxscore,BAL,,LAA,L,5,9,,49-36,1,up 1.0,Shoemaker,Jimenez,,3:27,N,44317,-
86,Saturday Jul 9,boxscore,BAL,,LAA,W,3,2,,50-36,1,up 2.0,Brach,Smith,Britton,3:14,D,43288,+
87,Sunday Jul 10,boxscore,BAL,,LAA,W,4,2,,51-36,1,up 2.0,Tillman,Lincecum,Britton,3:13,D,32963,++
88,Friday Jul 15,boxscore,BAL,@,TBR,W,4,3,,52-36,1,up 2.0,Givens,Archer,Britton,3:00,N,17672,+++
89,Saturday Jul 16,boxscore,BAL,@,TBR,W,2,1,,53-36,1,up 2.0,Tillman,Moore,Britton,2:33,N,18638,++++
90,Sunday Jul 17,boxscore,BAL,@,TBR,L,2,5,,53-37,1,up 2.0,Odorizzi,Bundy,Colome,2:32,D,16161,-
91,Monday Jul 18,boxscore,BAL,@,NYY,L,1,2,,53-38,1,up 1.5,Nova,Gausman,Chapman,2:57,N,31102,--
92,Tuesday Jul 19,boxscore,BAL,@,NYY,L,1,7,,53-39,1,up 0.5,Eovaldi,Worley,,2:51,N,31192,---
93,Wednesday Jul 20,boxscore,BAL,@,NYY,L,0,5,,53-40,2,0.5,Pineda,Gallardo,,2:40,N,35681,----
94,Thursday Jul 21,boxscore,BAL,@,NYY,W,4,1,,54-40,2,0.5,Tillman,Sabathia,Britton,2:52,D,42476,+
95,Friday Jul 22,boxscore,BAL,,CLE,W,5,1,,55-40,1,up 0.5,Bundy,Bauer,Britton,2:52,N,39358,++
96,Saturday Jul 23,boxscore,BAL,,CLE,W,5,2,,56-40,1,up 1.5,Gausman,Tomlin,Britton,2:52,N,31946,+++
97,Sunday Jul 24,boxscore,BAL,,CLE,W-wo,5,3,,57-40,1,up 1.5,O'Day,Allen,,2:46,D,37821,++++
98,Monday Jul 25,boxscore,BAL,,COL,W-wo,3,2,10,58-40,1,up 2.5,Roe,Lyles,,3:14,N,19361,+++++
99,Tuesday Jul 26,boxscore,BAL,,COL,L,3,6,,58-41,1,up 2.0,Bettis,Tillman,Estevez,2:44,N,23677,-
100,Wednesday Jul 27,boxscore,BAL,,COL,L,1,3,,58-42,1,up 2.0,Gray,Bundy,Estevez,2:48,N,20324,--
101,Thursday Jul 28,boxscore,BAL,@,MIN,L,2,6,,58-43,1,up 1.5,Pressly,Despaigne,,3:00,N,22569,---
102,Friday Jul 29,boxscore,BAL,@,TOR,L,5,6,,58-44,1,up 0.5,Estrada,Gausman,Osuna,2:45,N,46112,----
103,Saturday Jul 30,boxscore,BAL,@,TOR,L,1,9,,58-45,2,0.5,Happ,Gallardo,,2:52,D,47305,-----
104,Sunday Jul 31,boxscore,BAL,@,TOR,W,6,2,12,59-45,1,up 0.5,Givens,Morales,,3:47,D,46792,+
105,Tuesday Aug 2,boxscore,BAL,,TEX,W,5,1,,60-45,1,up 1.0,Bundy,Darvish,O'Day,2:43,N,22230,++
106,Wednesday Aug 3,boxscore,BAL,,TEX,W,3,2,,61-45,1,up 1.0,Gausman,Hamels,Britton,2:26,N,24552,+++
107,Thursday Aug 4,boxscore,BAL,,TEX,L,3,5,,61-46,1,Tied,Griffin,Miley,Dyson,2:26,N,28762,-
108,Friday Aug 5,boxscore,BAL,@,CHW,W,7,5,,62-46,1,Tied,Gallardo,Gonzalez,Britton,3:19,N,26553,+
109,Saturday Aug 6,boxscore,BAL,@,CHW,L,2,4,,62-47,1,Tied,Jones,Tillman,Robertson,2:56,N,28491,-
110,Sunday Aug 7,boxscore,BAL,@,CHW,W,10,2,,63-47,1,up 1.0,Bundy,Shields,Jimenez,2:53,D,31040,+
111,Monday Aug 8,boxscore,BAL,@,OAK,L,2,3,,63-48,1,Tied,Graveman,Gausman,Madson,2:29,N,10407,-
112,Tuesday Aug 9,boxscore,BAL,@,OAK,L,1,2,,63-49,1,Tied,Neal,Miley,Madson,2:25,N,13573,--
113,Wednesday Aug 10,boxscore,BAL,@,OAK,L,0,1,,63-50,2,1.0,Detwiler,Gallardo,Axford,2:24,N,13481,---
114,Thursday Aug 11,boxscore,BAL,@,OAK,W,9,6,,64-50,2,0.5,Tillman,Triggs,Britton,3:10,D,16610,+
115,Friday Aug 12,boxscore,BAL,@,SFG,W,5,2,,65-50,1,up 0.5,Bundy,Cain,Britton,3:01,N,41479,++
116,Saturday Aug 13,boxscore,BAL,@,SFG,L,2,6,,65-51,2,0.5,Bumgarner,Gausman,Casilla,2:59,N,41456,-
117,Sunday Aug 14,boxscore,BAL,@,SFG,W,8,7,,66-51,2,0.5,Brach,Casilla,Britton,3:14,D,41268,+
118,Tuesday Aug 16,boxscore,BAL,,BOS,L,3,5,,66-52,2,1.0,Ziegler,Brach,Kimbrel,3:05,N,26014,-
119,Wednesday Aug 17,boxscore,BAL,,BOS,L,1,8,6,66-53,3,2.0,Price,Bundy,,2:12,N,26160,--
120,Thursday Aug 18,boxscore,BAL,,HOU,W,13,5,,67-53,2,1.5,Gausman,Musgrove,,2:40,N,20288,+
121,Friday Aug 19,boxscore,BAL,,HOU,L,8,15,,67-54,3,1.5,Devenski,Jimenez,,3:03,N,34422,-
122,Saturday Aug 20,boxscore,BAL,,HOU,L,2,12,,67-55,3,2.5,Fiers,Tillman,,3:21,N,39373,--
